Sale_ID,Sale_Date,Sale_Date_Flag,Year,Month,Quarter,Region,Country,Dealer_Name,Model,Segment,Fuel_Type,CUSAtomer_Segment,Customer_Segment_Cleaned,Currency,Currency_Cleaned,Units_Sold,Unit_Price_Local,Discount_Pct,Total_Revenue_Local,Total_Revenue_Local_Flag,Revenue_EUR,COGS_EUR,Gross_Profit_EUR,Customer_Age,Customer_Age_Flag,CUSAtomer_Gender,Satisfaction_Score,Satisfactory_Score_Flag
BMW-2206,07-01-2034,CORRUPTED,2021,6,Q2,China,China,Beijing Luxury Motors,BMW 7 Series,Sedan,Hybrid,Lease,Lease,CNY,CNY,5,757151.85,2.15,3785759.25,OK,479210.03,352624.25,126585.78,68,OK,Male,-1,BAD SCORE
BMW-4583,02-06-2033,CORRUPTED,2024,1,Q1,China,China,Shenzhen Auto,BMW iX,Electric,Electric,lease,Lease,CNY,CNY,3,681247.18,5.16,2043741.53,OK,258701.46,196400.87,62300.59,35,OK,Prefer not to say,-1,BAD SCORE
BMW-3271,14-03-2033,CORRUPTED,2022,9,Q3,China,China,Shenzhen Auto,BMW X5,SUV,Petrol,Corporate Fleet,Corporate Fleet,CNY,CNY,3,576613.17,1.82,1729839.51,OK,218967.03,160582.43,58384.59,25,OK,Female,-1,BAD SCORE
BMW-3573,22-04-2032,CORRUPTED,2023,1,Q1,China,China,Shanghai BMW,BMW 2 Series,Coupe,Petrol,Lease,Lease,CNY,CNY,3,287938.41,4.14,863815.23,OK,109343.7,82126.87,27216.83,44,OK,Female,-1,BAD SCORE
BMW-4462,24-11-2030,CORRUPTED,2023,12,Q4,USA,USA,Miami Auto Group,BMW 5 Series,Sedan,Hybrid,Lease,Lease,USD,USD,8,62558.74,6.8,500469.89,OK,459146.69,354704.86,104441.83,40,OK,Prefer not to say,-1,BAD SCORE
BMW-4161,10-09-2029,CORRUPTED,2023,8,Q3,UAE,UAE,Abu Dhabi Motors,BMW iX,Electric,Electric,Individual,Individual,AED,AED,1,363293.37,2.86,363293.37,OK,90823.34,67319.31,23504.04,54,OK,Female,-1,BAD SCORE
BMW-3868,19-10-2028,CORRUPTED,2023,5,Q2,USA,USA,Miami Auto Group,BMW X3,SUV,Diesel,Corporate Fleet,Corporate Fleet,USD,USD,5,56170.52,6.98,280852.59,OK,257662.92,199445.78,58217.14,27,OK,Female,-1,BAD SCORE
BMW-3513,27-10-2027,CORRUPTED,2022,12,Q4,UAE,UAE,Dubai BMW,BMW 3 Series,Sedan,Petrol,Individual,Individual,AED,AED,1,176919.23,5.94,176919.23,OK,44229.81,33857.47,10372.34,35,OK,Prefer not to say,-1,BAD SCORE
BMW-3991,12-07-2027,CORRUPTED,2023,6,Q2,Australia,Australia,Melbourne Auto Group,BMW 7 Series,Sedan,Petrol,Individual,Individual,AUD,AUD,1,147573.64,3.33,147573.64,OK,89438.57,66616.54,22822.02,39,OK,Prefer not to say,-1,BAD SCORE
BMW-3857,07-06-2027,CORRUPTED,2023,5,Q2,USA,USA,New York BMW,BMW i7,Electric,Electric,Individual,Individual,USD,USD,1,138559.69,1.22,138559.69,OK,127118.98,92658.97,34460,33,OK,Prefer not to say,-1,BAD SCORE
BMW-4118,15-04-2027,CORRUPTED,2023,8,Q3,USA,USA,Beverly Hills BMW,BMW M5,M Sport,Hybrid,Individual,Individual,USD,USD,1,128052.48,5.04,128052.48,OK,117479.34,89072.02,28407.32,46,OK,Female,-1,BAD SCORE
BMW-2662,13-03-2027,CORRUPTED,2022,1,Q1,Germany,Germany,BMW Munich HQ,BMW i7,Electric,Electric,individual,Individual,EUR,EUR,1,123329.51,4.46,123329.51,OK,123329.51,92940.55,30388.96,61,OK,Prefer not to say,-1,BAD SCORE
